,Avg Length,Avg GC,Avg KPK
ABCC4,1871.0,0.425172544552,1000.0
ABCC5,2498.76923077,0.496606290863,1000.0
ABCC5-AS1,469.0,0.456289978678,1000.0
ABCC6,2696.25,0.564686791222,998.933892951
ABCC6P1,1371.75,0.539371412748,1000.0
ABCC6P2,648.0,0.525992701781,1000.0
ABCC8,1318.25,0.588525814265,1000.0
ABCC9,3548.16666667,0.396888854955,999.798687442
ABCD1,1782.66666667,0.624769278278,1000.0
ABCD1P2,1601.0,0.634603372892,1000.0
ABCD1P3,605.0,0.629752066116,1000.0
ABCD1P4,604.0,0.62582781457,1000.0
ABCD1P5,754.0,0.640583554377,1000.0
ABCD2,6238.0,0.343058672651,999.83933162
ABCD3,2207.83333333,0.388509942815,999.743252465
ABCD4,1088.78571429,0.558753167985,999.380000842
ABCE1,1330.1,0.395792512195,999.880715706
ABCF1,1752.57142857,0.52747970185,998.570067417
ABCF2,1433.33333333,0.53860823824,999.575311438
ABCF2P1,1867.0,0.497589716122,997.301672963
ABCF2P2,296.0,0.510135135135,1000.0
ABCF3,1153.33333333,0.560116224235,999.235155055
ABCG1,2541.90909091,0.55265004381,995.563642932
ABCG2,2399.25,0.429648815104,1000.0
ABCG4,2255.5,0.578833765729,999.888408279
ABCG5,2795.25,0.523132888715,1000.0
ABCG8,2665.0,0.556848030019,1000.0
ABHD1,1359.125,0.559311585062,998.343032654
ABHD10,1268.8,0.423783760353,1000.0
ABHD11,921.857142857,0.609631238637,1000.0
ABHD11-AS1,558.0,0.643369175627,1000.0
ABHD12,942.888888889,0.554240946974,1000.0
ABHD12B,1287.88888889,0.447841680207,1000.0
ABHD13,5338.0,0.340951667291,999.8121713
ABHD14A,890.166666667,0.611359823767,1000.0
ABHD14A-ACY1,1368.0,0.619914113838,1000.0
ABHD14B,1574.75,0.604315973663,1000.0
ABHD15,3592.0,0.566258351893,999.441028508
ABHD15-AS1,187.0,0.422459893048,1000.0
ABHD16A,1104.625,0.573526868253,1000.0
ABHD16B,2094.0,0.666666666667,1000.0
ABHD17A,2546.33333333,0.669872851646,1000.0
ABHD17AP1,933.0,0.668810289389,1000.0
ABHD17AP3,1137.0,0.657871591909,1000.0
ABHD17AP4,909.0,0.667766776678,992.17877095
ABHD17AP6,1044.0,0.681992337165,999.029126214
ABHD17AP9,548.0,0.64598540146,1000.0
ABHD17B,1963.0,0.428497116838,1000.0
ABHD17C,1605.6,0.482643258852,999.065507168
ABHD2,2248.36363636,0.502215293836,999.51918957
ABHD3,1203.2,0.427195116208,999.517255414
ABHD4,936.9,0.5367338149,1000.0
ABHD5,805.285714286,0.480170347098,1000.0
ABHD6,1282.125,0.516351532596,1000.0
ABHD8,1071.66666667,0.677118266592,1000.0
ABI1,3103.38461538,0.382542084096,1000.0
ABI2,2575.79166667,0.485124403717,997.654721587
ABI3,1375.75,0.623739649807,1000.0
ABI3BP,1371.24137931,0.458521657021,998.361574425
ABL1,3374.0,0.534938971871,1000.0
ABL2,3816.81818182,0.492396010676,999.466442428
ABLIM1,3078.35714286,0.480963796565,998.640344284
ABLIM2,2146.3125,0.588210318457,999.034862911
ABLIM3,2410.83333333,0.536517417862,999.560342741
ABO,3021.66666667,0.575821549598,955.908428885
ABR,1138.94444444,0.594033903715,999.270127069
ABRA,2755.0,0.416333938294,1000.0
ABRACL,650.5,0.418793470362,1000.0
ABT1,2949.0,0.464564259071,1000.0
ABT1P1,821.0,0.562728380024,1000.0
ABTB1,1366.93333333,0.624561070808,1000.0
ABTB2,2734.0,0.630302696094,1000.0
AC000003.1,115.0,0.365217391304,1000.0
AC000029.1,91.0,0.296703296703,1000.0
AC000032.2,491.0,0.584521384929,1000.0
AC000036.4,2030.0,0.464532019704,1000.0
AC000041.10,151.0,0.576158940397,1000.0
AC000041.8,175.0,0.474285714286,1000.0
AC000067.1,287.0,0.588850174216,1000.0
AC000068.10,460.0,0.528260869565,1000.0
AC000068.5,2097.0,0.498807820696,998.559769563
AC000068.9,427.0,0.489461358314,987.89346247
AC000077.2,953.0,0.439664218258,970.181043663
AC000078.5,682.0,0.576246334311,1000.0
AC000081.2,297.0,0.488215488215,1000.0
AC000089.3,801.0,0.520599250936,1000.0
AC000095.9,874.0,0.592677345538,1000.0
AC000099.1,1350.0,0.358108287492,1000.0
AC000111.3,221.0,0.37556561086,1000.0
AC000111.4,193.0,0.388601036269,1000.0
AC000111.5,210.0,0.414285714286,1000.0
AC000111.6,376.0,0.43085106383,1000.0
AC000120.7,1589.0,0.400881057269,1000.0
AC000123.2,4975.0,0.377085427136,1000.0
AC000123.3,461.0,0.394793926247,1000.0
AC000123.4,516.0,0.364341085271,1000.0
AC000124.1,957.0,0.404388714734,1000.0
AC000362.1,425.0,0.505882352941,1000.0
AC000367.1,1766.0,0.377123442809,992.579908676
AC000370.2,646.0,0.410216718266,1000.0
AC000374.1,1745.0,0.404584527221,998.844598498
AC000403.1,80.0,0.775,1000.0
AC000403.4,3585.0,0.405578800558,1000.0
AC001226.7,539.0,0.437847866419,1000.0
AC002044.1,970.0,0.519587628866,996.861924686
AC002044.3,541.0,0.415896487985,1000.0
AC002044.4,158.0,0.284810126582,1000.0
AC002056.3,760.0,0.472368421053,1000.0
AC002056.5,284.0,0.566901408451,1000.0
AC002059.10,477.0,0.469601677149,1000.0
AC002064.4,289.0,0.36678200692,1000.0
AC002064.5,733.0,0.431105047749,1000.0
AC002064.7,346.0,0.433526011561,1000.0
AC002066.1,606.5,0.448110975657,1000.0
AC002066.2,90.0,0.388888888889,486.842105263
AC002069.5,1489.0,0.43317662861,995.93220339
AC002069.6,1159.0,0.433994823123,1000.0
AC002070.1,104.0,0.317307692308,1000.0
AC002072.1,90.0,0.333333333333,1000.0
AC002075.3,676.0,0.463017751479,1000.0
AC002075.4,252.0,0.47619047619,1000.0
AC002076.10,527.0,0.453510436433,998.050682261
AC002115.5,362.0,0.461325966851,1000.0
AC002115.9,568.0,0.455985915493,1000.0
AC002116.7,643.0,0.573872472784,1000.0
AC002116.8,1130.0,0.648672566372,1000.0
AC002117.1,499.0,0.328172651254,1000.0
AC002127.2,225.0,0.466666666667,1000.0
AC002127.4,792.0,0.440656565657,1000.0
AC002128.5,618.0,0.508090614887,1000.0
AC002306.1,937.0,0.501600853789,997.833152763
AC002310.10,723.0,0.464730290456,1000.0
AC002310.12,1098.5,0.512541412059,999.65059399
AC002310.13,377.0,0.718832891247,1000.0
AC002310.14,1377.0,0.614379084967,1000.0
AC002310.17,259.0,0.501930501931,1000.0
AC002310.7,1219.0,0.596180673458,994.233378562
AC002314.4,424.0,0.547169811321,1000.0
AC002331.1,294.0,0.41156462585,1000.0
AC002365.5,995.0,0.44824120603,1000.0
AC002366.1,186.0,0.47311827957,1000.0
AC002366.3,1190.0,0.474789915966,1000.0
AC002368.4,388.0,0.587628865979,1000.0
AC002383.2,671.0,0.405365126677,1000.0
AC002386.1,398.0,0.386934673367,1000.0
AC002389.1,65.0,0.630769230769,1000.0
AC002395.1,101.0,0.574257425743,1000.0
AC002398.11,1148.5,0.494826363927,994.738324061
AC002398.12,660.0,0.569696969697,1000.0
AC002398.13,427.0,0.405152224824,1000.0
AC002398.9,1037.0,0.589199614272,1000.0
AC002400.1,726.0,0.414600550964,1000.0
AC002401.1,468.0,0.568376068376,1000.0
AC002429.1,66.0,0.530303030303,1000.0
AC002429.4,148.0,0.405405405405,1000.0
AC002429.5,2569.0,0.434410276372,997.651663405
AC002451.3,545.333333333,0.492735778845,1000.0
AC002454.1,443.0,0.477227901808,1000.0
AC002456.2,405.333333333,0.38230405952,1000.0
AC002463.3,1188.0,0.43771043771,1000.0
AC002465.2,349.0,0.484240687679,1000.0
AC002467.7,620.333333333,0.548647715269,1000.0
AC002472.11,563.0,0.552397868561,996.35701275
AC002480.2,2592.0,0.430941358025,1000.0
AC002480.3,2432.0,0.474506578947,1000.0
AC002480.4,557.0,0.45960502693,1000.0
AC002480.5,1282.0,0.502340093604,1000.0
AC002486.2,590.0,0.405084745763,1000.0
AC002486.3,391.0,0.434782608696,1000.0
AC002511.2,450.0,0.544444444444,1000.0
AC002511.3,1000.0,0.567,1000.0
AC002519.6,642.333333333,0.457084994569,1000.0
AC002519.8,2792.0,0.382521489971,999.640028798
AC002523.1,260.0,0.511538461538,1000.0
AC002539.1,662.0,0.442800069081,1000.0
AC002539.2,87.0,0.298850574713,1000.0
AC002542.2,193.0,0.373056994819,1000.0
AC002543.2,1954.0,0.387410440123,1000.0
AC002550.5,1379.0,0.448150833938,996.336996337
AC002550.6,394.0,0.347715736041,1000.0
AC002551.1,592.0,0.540540540541,1000.0
AC002553.4,340.0,0.411764705882,1000.0
AC002558.1,90.0,0.333333333333,1000.0
AC002978.1,122.0,0.245901639344,1000.0
AC002979.1,100.0,0.54,1000.0
AC002981.1,84.0,0.440476190476,1000.0
AC002984.2,448.0,0.475446428571,1000.0
AC002985.3,634.5,0.639183581642,1000.0
AC003001.1,77.0,0.87012987013,746.031746032
AC003002.4,456.0,0.559210526316,1000.0
AC003002.6,581.666666667,0.553409703272,992.337164751
AC003003.5,2437.0,0.445535108552,996.696543317
AC003005.2,526.0,0.491991161164,1000.0
AC003005.4,573.5,0.58845300003,820.347447662
AC003006.1,86.0,0.558139534884,1000.0
AC003006.7,516.5,0.601703072361,1000.0
AC003009.1,686.0,0.351311953353,1000.0
AC003009.2,373.0,0.383378016086,1000.0
AC003013.1,68.0,0.617647058824,1000.0
AC003045.1,713.0,0.380084151473,1000.0
AC003075.4,520.375,0.390339444048,1000.0
AC003080.4,767.0,0.487614080834,1000.0
AC003084.2,435.0,0.445977011494,1000.0
AC003088.1,495.0,0.472727272727,1000.0
AC003090.1,1246.66666667,0.429726723461,999.557313638
AC003092.1,691.0,0.406782552651,996.228257888
AC003092.2,446.0,0.381165919283,1000.0
AC003101.1,459.0,0.57734204793,1000.0
AC003102.3,3651.5,0.461734850773,988.540642154
AC003104.1,1496.0,0.367647058824,1000.0
AC003658.1,143.0,0.300699300699,1000.0
AC003664.1,485.0,0.435051546392,1000.0
AC003665.1,1070.0,0.465675483439,1000.0
AC003666.1,102.0,0.401960784314,1000.0
AC003681.1,94.0,0.276595744681,1000.0
AC003682.16,462.0,0.357142857143,1000.0
AC003682.17,760.0,0.619736842105,1000.0
AC003956.1,356.0,0.469101123596,1000.0
AC003958.2,3025.0,0.497658407122,995.614035088
AC003958.6,421.0,0.615201900238,1000.0
AC003968.1,72.0,0.680555555556,1000.0
AC003973.1,714.0,0.536414565826,1000.0
AC003973.3,2822.0,0.329907866761,999.643874644
AC003973.4,1394.0,0.458393113343,998.550724638
AC003973.5,546.0,0.46336996337,1000.0
AC003984.1,2226.5,0.339755190268,1000.0
AC003985.1,362.0,0.403314917127,1000.0
AC003986.5,1526.0,0.545871559633,1000.0
AC003986.6,1711.0,0.395090590298,1000.0
AC003986.7,692.0,0.459537572254,1000.0
AC003988.1,578.0,0.427335640138,1000.0
AC003989.3,169.0,0.455621301775,1000.0
AC003989.4,565.0,0.486725663717,1000.0
AC003991.3,674.428571429,0.420429498988,1000.0
AC004000.1,52.0,0.692307692308,1000.0
AC004000.2,109.0,0.293577981651,1000.0
AC004004.2,250.0,0.44,1000.0
AC004006.2,377.0,0.51724137931,1000.0
AC004009.1,645.0,0.452713178295,1000.0
AC004009.2,728.0,0.401098901099,1000.0
AC004009.3,567.0,0.456790123457,1000.0
AC004012.1,534.0,0.434456928839,1000.0
AC004014.3,538.0,0.384758364312,1000.0
AC004014.4,999.0,0.458458458458,1000.0
AC004016.1,94.0,0.425531914894,1000.0
AC004019.10,1132.0,0.565371024735,982.110912343
AC004019.13,1172.5,0.558337786763,991.776315789
AC004022.7,193.0,0.40932642487,1000.0
AC004022.8,1066.0,0.44277673546,1000.0
AC004041.2,427.0,0.471147114909,1000.0
AC004051.2,1951.0,0.503331624808,995.86990191
AC004052.1,85.0,0.364705882353,1000.0
AC004053.1,2968.0,0.366576819407,1000.0
AC004053.2,94.0,0.308510638298,1000.0
AC004054.1,270.0,0.359259259259,1000.0
AC004057.1,316.0,0.501720090659,1000.0
AC004062.2,645.0,0.421705426357,1000.0
AC004063.1,547.0,0.493601462523,1000.0
AC004066.2,802.0,0.614713216958,1000.0
AC004066.3,572.0,0.433566433566,1000.0
AC004067.5,700.0,0.401428571429,1000.0
AC004069.1,1114.0,0.416517055655,1000.0
AC004069.2,549.0,0.377049180328,1000.0
AC004070.1,582.0,0.419243986254,992.957746479
AC004074.4,1063.0,0.406396989652,1000.0
AC004076.5,3323.0,0.418898585615,997.280145059
AC004076.7,521.0,0.504798464491,1000.0
AC004076.9,598.333333333,0.498743684345,1000.0
AC004079.1,140.0,0.364285714286,1000.0
AC004112.4,424.5,0.405906491384,1000.0
AC004112.5,518.0,0.382239382239,1000.0
AC004112.7,1106.0,0.409584086799,1000.0
AC004125.3,480.0,0.400075743066,1000.0
AC004129.7,287.0,0.491289198606,1000.0
AC004129.9,796.0,0.518844221106,1000.0
AC004156.3,1882.0,0.607863974495,847.430406852
AC004158.1,375.0,0.504,1000.0
AC004158.2,1030.33333333,0.457910495569,999.184006528
AC004158.3,2982.0,0.437545629652,995.401594114
AC004159.1,616.0,0.491883116883,1000.0
AC004160.4,563.0,0.477797513321,1000.0
AC004166.6,771.0,0.569390402075,1000.0
AC004221.2,844.0,0.61018957346,1000.0
AC004231.2,815.0,0.418404907975,1000.0
AC004237.1,502.0,0.426294820717,1000.0
AC004257.1,277.0,0.476534296029,1000.0
AC004381.6,1084.68421053,0.473997015851,1000.0
AC004381.7,351.0,0.478632478632,1000.0
AC004383.3,289.0,0.418685121107,1000.0
AC004386.3,148.0,0.364864864865,1000.0
AC004386.4,761.0,0.423127463863,987.951807229
AC004447.2,2416.0,0.515314569536,1000.0
AC004448.2,520.0,0.417307692308,1000.0
AC004448.5,790.0,0.496343675195,987.335986576
AC004449.6,433.0,0.524249422633,1000.0
AC004453.8,408.0,0.504901960784,1000.0
AC004458.1,92.0,0.423913043478,1000.0
AC004460.1,83.0,0.746987951807,1000.0
AC004461.4,403.0,0.583126550868,1000.0
AC004470.1,85.0,0.588235294118,1000.0
AC004471.10,1514.0,0.560766182299,1000.0
AC004471.9,582.0,0.642611683849,1000.0
AC004477.1,66.0,0.787878787879,1000.0
AC004485.3,527.0,0.430740037951,1000.0
AC004490.1,2738.0,0.595325054785,1000.0
AC004492.1,67.0,0.44776119403,452.830188679
AC004510.3,410.5,0.413292158969,1000.0
AC004520.1,100.0,0.3,1000.0
AC004535.2,449.0,0.445434298441,1000.0
AC004538.3,717.363636364,0.403676669433,998.913281252
AC004540.4,559.5,0.529129669961,1000.0
AC004540.5,694.0,0.582077146577,1000.0
AC004541.1,84.0,0.571428571429,1000.0
AC004543.1,64.0,0.28125,1000.0
AC004543.2,369.0,0.409214092141,1000.0
AC004549.6,859.0,0.525029103609,1000.0
AC004552.1,98.0,0.571428571429,1000.0
AC004593.3,798.0,0.46365914787,1000.0
AC004595.1,100.0,0.59,1000.0
AC004603.4,1873.0,0.533368926855,1000.0
AC004623.2,377.0,0.515728943511,1000.0
AC004623.3,2127.0,0.554301833568,1000.0
AC004637.1,482.0,0.607883817427,1000.0
AC004655.1,70.0,0.542857142857,1000.0
AC004673.1,74.0,0.283783783784,1000.0
AC004674.1,101.0,0.554455445545,1000.0
AC004691.5,547.0,0.407678244973,1000.0
AC004692.4,443.333333333,0.46657462207,1000.0
AC004692.5,424.0,0.547169811321,1000.0
AC004699.1,145.0,0.275862068966,1000.0
AC004702.2,195.0,0.512820512821,1000.0
AC004744.3,313.0,0.38338658147,1000.0
AC004745.1,83.0,0.385542168675,1000.0
AC004769.1,69.0,0.579710144928,1000.0
AC004775.5,753.0,0.378486055777,1000.0
AC004791.2,412.5,0.522222222222,1000.0
AC004812.1,88.0,0.534090909091,1000.0
AC004813.1,375.0,0.498666666667,1000.0
AC004819.1,86.0,0.616279069767,1000.0
AC004824.1,64.0,0.609375,1000.0
AC004824.2,189.0,0.513227513228,1000.0
AC004832.1,110.0,0.518181818182,1000.0
AC004837.1,88.0,0.386363636364,1000.0
AC004837.3,564.0,0.563829787234,1000.0
AC004837.4,565.0,0.594690265487,1000.0
AC004837.5,731.0,0.415868673051,1000.0
AC004840.8,608.0,0.611842105263,1000.0
AC004840.9,2067.0,0.576197387518,1000.0
AC004846.1,86.0,0.604651162791,1000.0
AC004850.1,94.0,0.31914893617,1000.0
AC004851.1,78.0,0.653846153846,1000.0
AC004854.4,234.5,0.475997577042,1000.0
AC004854.5,349.0,0.401146131805,1000.0
AC004862.6,722.153846154,0.397087002947,999.87006237
AC004866.1,78.0,0.384615384615,1000.0
AC004866.3,481.0,0.494802494802,1000.0
AC004869.2,540.0,0.459259259259,1000.0
AC004869.3,229.0,0.38864628821,1000.0
AC004870.3,389.0,0.378264825519,1000.0
AC004870.4,715.333333333,0.443490870853,1000.0
AC004870.5,882.0,0.62925170068,991.935483871
AC004875.1,86.0,0.255813953488,1000.0
AC004878.2,775.0,0.521290322581,1000.0
AC004878.8,280.0,0.517857142857,1000.0
AC004893.10,1393.0,0.493898061737,1000.0
AC004893.11,1580.0,0.536270657598,1000.0
AC004895.1,86.0,0.581395348837,1000.0
AC004895.4,537.0,0.548645071333,1000.0
AC004899.3,1714.0,0.447491248541,1000.0
AC004901.1,407.5,0.469826007326,1000.0
AC004906.3,969.0,0.477812177503,1000.0
AC004911.2,871.0,0.595866819747,981.330221704
AC004915.1,68.0,0.617647058824,1000.0
AC004920.2,155.0,0.445161290323,1000.0
AC004920.3,482.0,0.51244813278,995.726495726
AC004924.1,149.0,0.389261744966,1000.0
AC004938.5,308.0,0.461038961039,1000.0
AC004941.3,3120.0,0.451602564103,999.034127495
AC004941.5,228.0,0.44298245614,1000.0
AC004943.1,81.0,0.876543209877,746.268656716
AC004945.1,983.0,0.556459816887,1000.0
AC004947.2,1309.0,0.453287364289,1000.0
AC004951.5,790.0,0.603797468354,1000.0
AC004951.6,1866.0,0.546087888532,1000.0
AC004953.1,273.0,0.567765567766,1000.0
AC004967.7,447.0,0.454138702461,1000.0
AC004969.1,84.0,0.321428571429,1000.0
AC004980.1,153.0,0.18954248366,1000.0
AC004980.10,497.0,0.432595573441,1000.0
AC004980.11,855.0,0.573099415205,959.571938169
AC004980.7,1169.0,0.611027191054,1000.0
AC004980.8,203.0,0.428571428571,1000.0
AC004980.9,365.0,0.520547945205,1000.0
AC004984.1,73.0,0.424657534247,1000.0
AC004985.12,1170.0,0.640170940171,1000.0
AC004987.10,508.0,0.659448818898,1000.0
AC004987.9,1148.0,0.560975609756,1000.0
AC004988.1,1771.0,0.404291360813,998.292544109
AC005000.1,56.0,0.464285714286,1000.0
AC005007.3,478.0,0.479079497908,1000.0
AC005008.2,577.0,0.393261863421,1000.0
AC005008.3,612.0,0.401960784314,1000.0
AC005009.1,269.0,0.330855018587,1000.0
AC005009.2,683.5,0.501264020892,1000.0
AC005013.5,588.0,0.549319727891,1000.0
AC005014.5,2976.0,0.578629032258,1000.0
AC005017.2,490.0,0.475510204082,1000.0
AC005019.2,431.0,0.445475638051,1000.0
AC005019.3,359.0,0.381615598886,1000.0
AC005020.1,85.0,0.470588235294,1000.0
AC005027.3,386.0,0.432642487047,1000.0
AC005033.6,813.0,0.431734317343,1000.0
AC005034.2,489.0,0.640081799591,1000.0
AC005037.1,1222.0,0.598199672668,1000.0
AC005037.2,114.0,0.30701754386,1000.0
AC005037.3,652.5,0.572227809907,1000.0
AC005037.4,501.0,0.439121756487,1000.0
AC005037.6,298.0,0.348993288591,1000.0
AC005040.3,482.0,0.429460580913,1000.0
AC005041.11,306.0,0.545751633987,1000.0
AC005042.2,800.0,0.5075,1000.0
AC005042.3,174.0,0.379310344828,1000.0
AC005042.4,2446.0,0.483618630366,1000.0
AC005042.5,510.0,0.533333333333,1000.0
AC005048.1,91.0,0.362637362637,1000.0
AC005052.1,103.0,0.339805825243,1000.0
AC005062.2,625.125,0.402869110531,1000.0
AC005071.1,94.0,0.670212765957,1000.0
AC005071.2,66.0,0.666666666667,1000.0
AC005076.5,553.5,0.494132855241,1000.0
AC005077.12,1352.5,0.447999847431,996.855345912
AC005077.14,3495.0,0.683547925608,862.68313703
AC005077.5,256.5,0.558661971831,1000.0
AC005077.7,631.0,0.502377179081,1000.0
AC005077.8,375.0,0.469333333333,1000.0
AC005077.9,126.0,0.404761904762,1000.0
AC005082.12,2033.0,0.46581406788,998.018821199
AC005083.1,694.333333333,0.419934359543,1000.0
AC005086.1,228.0,0.5,1000.0
AC005086.2,219.0,0.474885844749,1000.0
AC005086.3,213.0,0.553990610329,1000.0
AC005088.1,86.0,0.558139534884,1000.0
AC005094.2,368.0,0.423913043478,1000.0
AC005102.1,479.0,0.56993736952,980.64516129
AC005104.3,442.0,0.429864253394,1000.0
AC005105.2,792.0,0.534090909091,1000.0
AC005150.1,628.0,0.414012738854,986.970684039
AC005150.2,87.0,0.298850574713,1000.0
AC005150.3,68.0,0.602941176471,1000.0
AC005152.3,334.5,0.401277760876,1000.0
AC005154.6,1505.28571429,0.466012842903,998.464193328
AC005154.7,1393.0,0.503230437904,1000.0
AC005154.8,379.0,0.435356200528,1000.0
AC005158.1,106.0,0.377358490566,1000.0
AC005159.1,86.0,0.325581395349,1000.0
AC005160.3,381.0,0.409448818898,1000.0
AC005161.1,80.0,0.4375,545.454545455
AC005162.4,389.0,0.467866323907,1000.0
AC005162.5,578.0,0.406574394464,996.453900709
AC005176.1,147.0,0.428571428571,1000.0
AC005176.2,915.666666667,0.473591513801,1000.0
AC005176.3,111.0,0.45045045045,1000.0
AC005178.1,440.0,0.361363636364,1000.0
AC005187.1,67.0,0.328358208955,566.037735849
AC005189.6,310.0,0.454838709677,1000.0
AC005195.1,104.0,0.115384615385,255.555555556
AC005197.2,683.0,0.467057101025,1000.0
AC005204.1,100.0,0.37,1000.0
AC005220.3,884.0,0.4592760181,998.850574713
AC005224.2,1537.0,0.430058555628,1000.0
AC005227.1,71.0,0.281690140845,1000.0
AC005229.1,100.0,0.56,1000.0
AC005229.5,399.0,0.503759398496,1000.0
AC005229.7,409.0,0.577017114914,1000.0
AC005235.1,1149.66666667,0.417064931727,998.806682578
AC005237.2,219.0,0.65296803653,1000.0
AC005237.4,559.0,0.543828264758,836.697247706
AC005253.2,2001.0,0.529735132434,994.967287368
AC005253.4,432.0,0.585648148148,1000.0
AC005255.3,216.0,0.407407407407,1000.0
AC005255.5,913.0,0.464403066813,1000.0
AC005255.6,930.0,0.476344086022,1000.0
AC005256.1,343.5,0.667722360028,1000.0
AC005262.2,472.0,0.675847457627,1000.0
AC005262.3,452.0,0.632743362832,1000.0
AC005262.4,362.0,0.593922651934,1000.0
AC005264.2,2319.0,0.556274256145,971.800433839
AC005276.1,837.0,0.487455197133,991.494532199
AC005281.1,638.666666667,0.371713423125,1000.0
